Event;Time;Driver;Vehicle;Latitude;Longitude;Street;City;Country;Postal Code;Value;Limit;Info
border crossing;09.01.2023 13:15;Kierowca 1;OP1;;;;;DE;;;;
border crossing;10.01.2023 19:01;Kierowca 1;OP1;;;;;PL;;;;
border crossing;11.01.2023 17:02;Kierowca 1;OP1;;;;;DE;;;;
coolant violation;09.01.2023 14:36;Kierowca 1;OP1;;;;;DE;;;;
coolant violation;10.01.2023 14:24;Kierowca 1;OP1;;;;;DE;;;;
coolant violation;10.01.2023 14:25;Kierowca 1;OP1;;;;;DE;;;;
driving times driving warning;10.01.2023 17:41;Kierowca 1;OP1;;;;;DE;;;;
driving times driving warning;10.01.2023 19:00;Kierowca 1;OP1;;;;;DE;;;;
driving times total driving;10.01.2023 21:03;Kierowca 1;OP1;;;;;PL;;;;
driving times total driving;10.01.2023 22:23;Kierowca 1;OP1;;;;;PL;;;;
engine idle;09.01.2023 04:45;Kierowca 1;OP1;;;;;PL;;;;
engine idle;09.01.2023 05:29;Kierowca 1;OP1;;;;;PL;;;;
engine idle;09.01.2023 22:49;Kierowca 1;OP1;;;;;DE;;;;
engine idle;11.01.2023 12:03;Kierowca 1;OP1;;;;;PL;;;;
fuel level increase;11.01.2023 08:28;Kierowca 1;OP1;;;;;PL;;;;
geofence entered;09.01.2023 14:21;Kierowca 1;OP1;;;;;DE;;;;
geofence entered;10.01.2023 16:56;Kierowca 1;OP1;;;;;DE;;;;
geofence entered;10.01.2023 19:01;Kierowca 1;OP1;;;;;DE;;;;
geofence entered;11.01.2023 18:43;Kierowca 1;OP1;;;;;DE;;;;
navigation cancelled;09.01.2023 04:44;Kierowca 1;OP1;;;;;PL;;;;
navigation cancelled;09.01.2023 05:08;Kierowca 1;OP1;;;;;PL;;;;
navigation cancelled;09.01.2023 15:51;Kierowca 1;OP1;;;;;DE;;;;
navigation cancelled;09.01.2023 15:51;Kierowca 1;OP1;;;;;DE;;;;
navigation cancelled;10.01.2023 16:53;Kierowca 1;OP1;;;;;DE;;;;
navigation cancelled;11.01.2023 12:04;Kierowca 1;OP1;;;;;PL;;;;
navigation cancelled;11.01.2023 17:49;Kierowca 1;OP1;;;;;DE;;;;
navigation cancelled;11.01.2023 18:42;Kierowca 1;OP1;;;;;DE;;;;
navigation cancelled;11.01.2023 19:49;Kierowca 1;OP1;;;;;DE;;;;
navigation destination reached;09.01.2023 16:13;Kierowca 1;OP1;;;;;DE;;;;
navigation destination reached;10.01.2023 10:58;Kierowca 1;OP1;;;;;DE;;;;
navigation destination reached;10.01.2023 22:14;Kierowca 1;OP1;;;;;PL;;;;
navigation started;09.01.2023 04:44;Kierowca 1;OP1;;;;;PL;;;;
navigation started;09.01.2023 04:45;Kierowca 1;OP1;;;;;PL;;;;
navigation started;09.01.2023 05:08;Kierowca 1;OP1;;;;;PL;;;;
navigation started;09.01.2023 15:51;Kierowca 1;OP1;;;;;DE;;;;
navigation started;09.01.2023 15:51;Kierowca 1;OP1;;;;;DE;;;;
navigation started;10.01.2023 08:16;Kierowca 1;OP1;;;;;DE;;;;
navigation started;10.01.2023 12:33;Kierowca 1;OP1;;;;;DE;;;;
navigation started;10.01.2023 16:53;Kierowca 1;OP1;;;;;DE;;;;
navigation started;11.01.2023 11:09;Kierowca 1;OP1;;;;;PL;;;;
navigation started;11.01.2023 12:04;Kierowca 1;OP1;;;;;PL;;;;
navigation started;11.01.2023 17:50;Kierowca 1;OP1;;;;;DE;;;;
navigation started;11.01.2023 18:42;Kierowca 1;OP1;;;;;DE;;;;
tethered;09.01.2023 05:23;Kierowca 1;OP1;;;;;PL;;;;
tethered;09.01.2023 22:13;Kierowca 1;OP1;;;;;DE;;;;
tethered;10.01.2023 08:15;Kierowca 1;OP1;;;;;DE;;;;
tethered;11.01.2023 09:04;Kierowca 1;OP1;;;;;PL;;;;
tethered;11.01.2023 11:57;Kierowca 1;OP1;;;;;PL;;;;
untethered;09.01.2023 22:13;Kierowca 1;OP1;;;;;DE;;;;
